station_id,A,B,c,breakpoint,Elv,Lat,Lon,distance_to_coast,int_scale,min_K,max_K
091_BL_Pa,17.780078613307868,0.002152719549706,0.7356282314235288,0.0182860732531023,1621,46.65215334,12.42397152,111.9813,3.499145045348623,5.7220458984375e-06,6.0
093_BL_To,13.571672370378575,0.0020827020003276,0.6806314969517825,0.0350542987777272,593,46.15155195,12.36301566,65.2115,2.414179836422567,5.7220458984375e-06,6.0
096_RO_Ba,2.476021265957538,0.0660204589244706,0.8525499548491906,0.0020467067727611,6,44.98944662,11.52950565,57.6021,0.942164261148533,5.7220458984375e-06,6.0
101_RO_Po,2.711783336993692,0.0544117897676706,0.8341177756339815,0.000120007678862,-3,44.9173386,12.36910037,4.560899999999999,0.9681898776955705,5.7220458984375e-06,6.0
104_VR_Vi,3.510735129036864,0.0248950705760822,0.7389162014160399,0.0642191931985819,67,45.3724202,10.83262812,102.6398,0.9982195115823866,5.7220458984375e-06,6.0
105_VI_Lo,3.6465734208106495,0.0205953606562873,0.7136586055615126,0.0650173680649737,29,45.39045584,11.37964132,59.773300000000006,0.9450721772036076,5.7220458984375e-06,6.0
112_RO_Ro,2.608547058043828,0.0627508754771358,0.8602705262619312,0.0336833476999087,-2,45.07114136,12.26177816,2.5791,0.9541543487179038,5.7220458984375e-06,6.0
114_RO_Vi,3.743586861896614,0.0233051751273522,0.745783071322912,0.0608331660809208,0,45.07144877,11.92220596,27.0152,1.0144777176979665,5.7220458984375e-06,6.0
115_RO_Ad,3.252863867325296,0.0349755840391227,0.7883948558939333,0.0323747441660349,-1,45.01567605,12.0076803,23.5165,0.976218227984117,5.7220458984375e-06,6.0
116_RO_Fr,3.3016583215820323,0.0254632418786713,0.7239628303925013,0.0733716337285785,4,44.99058314,11.6786399,47.88,0.8730464468740889,5.7220458984375e-06,6.0
117_VR_So,3.3215371519601167,0.0361397455670019,0.80405601709755,0.0336002265344109,24,45.21753966,11.00830055,89.7255,1.0217464303815678,5.7220458984375e-06,6.0
118_VR_Ba,4.163485753777933,0.0148820731352907,0.6939207972359721,0.0636879913679478,160,45.51796066,10.7659099,108.6995,1.0347548857548337,5.7220458984375e-06,6.0
120_VR_Do,4.84462268575536,0.013292656281463,0.7157348914543865,0.0163234274976011,105,45.59957097,10.84874997,103.8928,1.230659631164045,5.7220458984375e-06,6.0
123_VR_Ar,2.931538117594499,0.0394924046960216,0.7797736569776431,0.0313236270893229,27,45.37550277,11.29582046,66.3564,0.9126291074084019,5.7220458984375e-06,6.0
125_VR_Sa,3.587427772090154,0.0210835904626456,0.7131451675608863,0.0336657016087781,127,45.50931262,10.88807026,99.1084,0.9546966789823811,5.7220458984375e-06,6.0
126_VR_Il,3.601932555884235,0.0273949747314618,0.767508602372588,0.0326997727452794,144,45.46030398,11.17156147,76.46010000000001,1.112041684408059,5.7220458984375e-06,6.0
127_VR_Bu,3.0438330476857143,0.0335487007784934,0.7551621542771801,0.0318628616222016,39,45.35084342,11.01059728,88.6592,0.8922648546430191,5.7220458984375e-06,6.0
128_VR_Gr,2.996288781354222,0.0340380322054879,0.7529155726506929,0.0341835633383942,156,45.50976063,11.0135023,89.40610000000001,0.8963529357511393,5.7220458984375e-06,6.0
129_VR_Ca,3.660387775359428,0.0212992556019899,0.7211270258428981,0.0169336179607742,120,45.45487236,10.77166288,107.5925,1.0291453907700012,5.7220458984375e-06,6.0
134_VI_Ma,5.485103695732184,0.0167955043731313,0.7955576047531895,0.0162049626339362,98,45.66931288,11.46439144,61.6152,1.6287605655523787,5.7220458984375e-06,6.0
135_VI_Ri,14.706906486306094,0.0075744359200477,0.909870838820984,0.0038092192621445,1130,45.71889138,11.18131677,83.6742,5.300352916500574,5.7220458984375e-06,6.0
137_VI_Va,14.574606740009234,0.0061409027577601,0.8622957020945143,0.0045076718741623,602,45.75778254,11.21365428,83.4436,4.557779968253641,5.7220458984375e-06,6.0
139_VI_Lu,5.71585220523822,0.0166196844221202,0.8058081827210108,0.008238955658539,767,45.78414598,11.58812049,61.8567,1.9929102860139232,5.7220458984375e-06,6.0
140_VI_Pa,8.303250182987522,0.0118082838765736,0.8433893029191,0.0083714305862584,807,45.6198264,11.25910319,73.7736,2.968364426467613,5.7220458984375e-06,6.0
144_VI_Ro,3.6902388540575712,0.030897499830923,0.8035268810877133,0.0079974389189471,88,45.71658505,11.77625641,45.945800000000006,1.283796280524897,5.7220458984375e-06,6.0
145_VI_Ba,3.824949117814882,0.0239775941181775,0.7584813884507796,0.0161191141674468,16,45.39775173,11.57053751,44.8363,1.2191272381060494,5.7220458984375e-06,6.0
147_VI_Br,5.278977033110928,0.0146875342559594,0.7575143033321572,0.0088210424869136,196,45.72042777,11.57629665,57.737300000000005,1.4992837369575973,5.7220458984375e-06,6.0
148_VI_Br,4.718424490497799,0.0218236189221573,0.8055084816646494,0.0001126041520702,80,45.472092,11.46922467,53.5669,1.6681110672182835,5.7220458984375e-06,6.0
149_VI_Mo,4.170242455239474,0.0187522371422228,0.735808369136378,0.0170329994138621,22,45.44957583,11.66198536,38.2854,1.2122244966293907,5.7220458984375e-06,6.0
159_VE_Po,3.71114435472589,0.0331590458313125,0.8230647905301548,0.0165553444364793,2,45.74548888,12.76128681,15.0697,1.2761377112266947,5.7220458984375e-06,6.0
163_VE_No,3.2143746303879883,0.0436843155405829,0.8416106759710391,0.0085030895609472,1,45.66841156,12.58851069,10.3197,1.2572995454733196,5.7220458984375e-06,6.0
165_VE_Fo,3.959125047133864,0.0287913428134485,0.8111753940940964,0.0161411553459304,3,45.77566742,12.89394125,13.0557,1.2901913464795385,5.7220458984375e-06,6.0
166_VE_Lu,3.6168888753701594,0.0332884221569044,0.814666904801789,0.0174577574587746,0,45.70491156,12.94668823,5.873399999999999,1.2651988932752611,5.7220458984375e-06,6.0
167_VE_Mi,2.909295106755418,0.0480709695655899,0.8280720585982624,0.0171188901659869,3,45.43934709,12.1169216,5.9963,1.0102638782272444,5.7220458984375e-06,6.0
168_VE_Ch,2.7844939365688184,0.0585638156204937,0.8678660956789003,0.0180509186248349,0,45.14632401,12.27596996,2.9438,1.0204226291071794,5.7220458984375e-06,6.0
169_PD_Ag,2.994205799428079,0.0444842610849962,0.8183600278965708,0.0631838106690688,1,45.15926189,11.95775646,19.0356,0.9505536223650304,5.7220458984375e-06,6.0
170_PD_Te,3.5459159678572654,0.0309169798157863,0.7896595087414342,0.0156705106342439,155,45.34272761,11.67713457,36.4199,1.273994462317535,5.7220458984375e-06,6.0
