station,n_valid_years,zero_crossing_exists,tau0,gamma_acf,mean_annual_mean,slope_mean,pvalue_mean,r2_mean,cv_mean,relative_drift_mean,mean_stable,mean_annual_variance,slope_variance,pvalue_variance,r2_variance,cv_variance,relative_drift_variance,variance_stable,mean_annual_gamma,slope_gamma,pvalue_gamma,r2_gamma,cv_gamma,relative_drift_gamma,gamma_stable,second_order_stable,status
059_BL_Do,34,True,82.25,2.3177831736856924,5.3487326083144886e-05,8.656860340127404e-05,0.01458112531732443,0.1724931626292445,38.806675491483084,53.410108925640934,False,0.14010650662498345,0.0011673212327983633,0.2903863603130236,0.03485845564920688,0.4443865101150846,0.27494512289464873,False,2.309421122576114,-0.0021301875299561813,0.9142388998759909,0.0003680720585694111,0.4787746384101662,0.0304388782978394,True,False,unstable
076_VI_Tu,36,True,224.91666666666666,4.9522530639300495,0.0001430252448486539,7.163384846033249e-05,0.42081693790890273,0.01915579046917454,38.12563048253985,17.52966547104802,False,0.23434305811334644,0.0013917501836846044,0.3317544638398374,0.02772481447536318,0.3757823338137541,0.20786302278858468,False,4.557582522047657,-0.023342233007925754,0.5167910294137915,0.012466104776367296,0.4832857190089867,0.17925690896987748,True,False,unstable
091_BL_Pa,35,True,203.25,3.499145045348624,-5.993910577253252e-07,6.002073071974524e-05,0.07917644008119686,0.09044483148756434,3411.880341277376,3404.630112794416,False,0.09847754663801717,2.271486547013554e-05,0.9733111953050781,3.443482830357034e-05,0.4027806858718938,0.00784245193296134,True,3.3840631418306457,-0.0060566973845185505,0.8338245121446136,0.0013532484783025536,0.49854376973534653,0.06085220707856884,True,True,stable
093_BL_To,36,True,178.0,2.414179836422567,3.0058679540020177e-05,8.413020936413407e-05,0.09755128911920369,0.07866045771218487,105.13935928767937,97.9603020759546,False,0.26164978757301793,-0.0003358126081262584,0.815564478694994,0.0016225950189888907,0.3356858472164185,0.04492050765047551,True,2.232227873023765,-0.0004389772130400802,0.9789491477757502,2.078080426047944e-05,0.4544998704867601,0.006882900550646084,True,True,stable
096_RO_Ba,34,True,65.41666666666666,0.9421642611485329,8.153147257238262e-08,6.129702249995907e-06,0.8186907930260863,0.0016665236679274194,18339.65694138125,2481.0072462542994,False,0.294438639117923,0.0028348375795313745,0.32932296365456176,0.029751632277236022,0.5558541319817888,0.31772202318551207,False,0.9834333350673319,-0.006964898182558475,0.21743997552409014,0.04713542105943228,0.3248471110845516,0.233713493155785,False,False,unstable
101_RO_Po,33,True,70.0,0.9681898776955705,-1.9286608447240746e-05,-1.6954314259666894e-05,0.5176994230237421,0.013624695093640704,72.82269961560033,28.130298688516138,False,0.33102121989690725,9.544335180739926e-06,0.9976766993225842,2.7795450963683523e-07,0.5288211191409562,0.000922656033588411,True,0.9523877792420643,-0.012142415475924598,0.02146780236198066,0.15913675569470515,0.30903796153124274,0.4079822354911058,False,False,unstable
104_VR_Vi,32,True,72.5,0.9982195115823869,1.7695856418957669e-06,2.46956659536209e-05,0.5282490731188413,0.013390687711304512,1131.3293426696962,432.6242406341482,False,0.30564271500080625,0.0003636586945780394,0.8847039821263353,0.0007124407229107752,0.4181642440104204,0.03688430634405758,True,0.9975034390385179,0.0026973966313409837,0.6110435677769238,0.008728388414814516,0.2715218056705599,0.08382857872868105,True,True,stable
105_VI_Lo,32,True,62.166666666666664,0.9450721772036077,1.13564215813998e-05,-1.0530216564296534e-05,0.7752072983552489,0.0027601951770578168,165.56450550927616,28.744680809300828,False,0.2830732226239644,0.0028513599128345934,0.2363947141266842,0.04640312161089816,0.4386528828672775,0.3122589854261591,False,0.9668129073187028,-0.010681386254993881,0.027527944249837195,0.15176321011974842,0.26603774884791903,0.3424891945465702,False,False,unstable
112_RO_Ro,31,True,75.33333333333333,0.9541543487179038,-5.317800662683051e-06,1.505267732072846e-05,0.6416039584290937,0.007571709958074639,295.767143105261,84.91862487263914,False,0.3570708419885802,0.004936492505978391,0.2106759527625717,0.05347860318696472,0.5435497243019862,0.4147490014995066,False,0.9692283538029633,-0.013264167946482292,0.08973520180833702,0.0960590382117768,0.4014671340332642,0.41055860245228015,False,False,unstable
114_RO_Vi,31,True,62.83333333333333,1.0144777176979662,4.482997146958326e-06,-2.4545979724050378e-05,0.463958851954182,0.018639188656925515,364.6394222130896,164.26050866910282,False,0.2706594450023787,-0.001475255581114209,0.5463946619863147,0.012682159211445707,0.44006080808619114,0.16351791245650898,True,1.0087069137127767,0.0015429918609659798,0.8050252668029676,0.0021354274052844168,0.30096877788764903,0.04589019387068475,True,True,stable
115_RO_Ad,31,True,63.0,0.976218227984117,-2.5967720912709686e-07,-2.6159447277221443e-05,0.4103968693680397,0.023492390632668905,5975.8038646178275,3022.1497718443884,False,0.2824489553667321,0.0011934128151480786,0.6567646916880416,0.006903956719055919,0.462345789816926,0.12675700785636293,True,0.995972036509618,-0.006945539267353297,0.32024047472086925,0.03406460135351406,0.3435361019693105,0.209208863685388,False,False,unstable
116_RO_Fr,31,True,60.5,0.8730464468740888,-1.09956884692596e-07,-6.255645895843255e-06,0.82639471871824,0.001686196502649013,12596.81790368738,1706.7542191647276,False,0.2770189243665776,0.004074598294026532,0.06159408390625409,0.11534130088182706,0.393775009628173,0.44126208741984413,False,0.8795714228892552,-0.004977403901997664,0.35187559260883555,0.02994630970335224,0.29732082577700525,0.16976690371480013,True,False,unstable
117_VR_So,31,True,63.75,1.0217464303815678,-1.5783515009168102e-07,3.814140257437221e-05,0.32828472867721764,0.03296912923179601,12100.53037992669,7249.602364026741,False,0.2807941539460967,0.005584433301279494,0.038441798981676455,0.13955675199543563,0.48403953270089145,0.5966399110664735,False,1.0773193827193548,-0.0060566351691842425,0.4695259466808586,0.018183420144403495,0.3790655934503356,0.16865848511597833,True,False,unstable
118_VR_Ba,31,True,72.58333333333333,1.034754885754834,2.125805770898659e-05,2.1249484527231325e-05,0.6217293814648808,0.008504122382377029,98.55423245140545,29.987901272252678,False,0.31197224637069354,0.005234224291794769,0.044634833653291316,0.13188942226808442,0.4200457536617198,0.5033355709701812,False,1.0452331549101488,-0.01598998454983383,0.0036987275921268347,0.255825548916033,0.27499710552523904,0.45894022232412945,False,False,unstable
120_VR_Do,31,True,76.66666666666666,1.230659631164045,2.6580873029614695e-05,3.148565397698142e-05,0.5468797987482147,0.012651710125366488,95.74896188018504,35.53568832209025,False,0.32956820507203544,0.004092885992573922,0.024721466619846293,0.16212363396675958,0.2804312378374432,0.37256803868680094,False,1.1944473052803881,-0.011248955158797069,0.05384279056193129,0.12225226139781181,0.24489614734414739,0.2825312203159048,False,False,unstable
123_VR_Ar,31,True,62.916666666666664,0.9126291074084018,5.936346632297489e-06,2.5153758953530476e-06,0.9472982900313679,0.00015326979862815922,311.1863669401504,12.711736954515802,False,0.30827529264433096,2.238216945103732e-05,0.9940492410857591,1.9514641282258298e-06,0.47255067459043065,0.0021781346074523544,True,0.9472710241513383,-0.002259127092935654,0.7009689263381846,0.005160047180796875,0.30185945786143886,0.07154638013844908,True,True,stable
125_VR_Sa,31,True,61.83333333333333,0.9546966789823812,1.9963195938389518e-05,3.8277678456203e-05,0.37755241902636943,0.02694627368923226,106.2016771715234,57.52237052774872,False,0.31521364970533944,0.0039096990902461656,0.17333736991612755,0.06296145335301329,0.4494342427729821,0.3720999164123385,False,0.9772080492239328,-0.005144181946231827,0.30866426674589975,0.03570381047735263,0.2533011806707313,0.15792487434944394,True,False,unstable
126_VR_Il,31,True,102.91666666666666,1.1120416844080587,-3.1035532689312453e-07,9.695208443887335e-06,0.8184687360727948,0.001846323279726913,6610.119136579387,937.1717773569285,False,0.3418976299580707,0.00023618886744487667,0.9378508083390853,0.00021326151990281526,0.430102826310483,0.020724525128224095,True,1.0905737205326953,-0.0024970966002255722,0.6711522270634924,0.0063038330140574505,0.26220633363124174,0.06869127377301522,True,True,stable
127_VR_Bu,31,True,70.41666666666666,0.8922648546430192,1.2039000232608643e-05,-2.1723638984202717e-05,0.5758276708497438,0.010921514954656467,156.98780768948183,54.13316362939113,False,0.3022282976656509,-0.004622630730358404,0.15442784479299695,0.0686667641000057,0.5306962260621267,0.4588548556898197,False,0.9192307570437471,0.009497365227418104,0.09496140276422409,0.09317177207129268,0.30775252683846915,0.3099558567196457,False,False,unstable
128_VR_Gr,31,True,71.08333333333333,0.8963529357511393,-7.330436863280658e-07,3.6600245342370005e-05,0.3950387435242564,0.025057487184351183,2867.8114453225626,1497.8743842283075,False,0.39892480808324515,0.005870744609799005,0.05868301919813876,0.11782865535045219,0.38980005450987726,0.4414925688382309,False,0.880561943656455,-0.0026690363395255228,0.44429586038935054,0.020318975722370052,0.19333428744360354,0.09093180867353591,True,False,unstable
129_VR_Ca,31,True,74.5,1.0291453907700012,2.030787860027332e-05,1.667155518972751e-05,0.6776543906581549,0.0060430760033823635,96.01691338440921,24.628207876183282,False,0.29510694620397177,-0.0018992157911126642,0.3282478457033383,0.03297407348248511,0.32223580339235686,0.1930705951394278,True,1.024625184239402,0.0019870625470865505,0.7372811360748012,0.00394003414442316,0.28090646326522645,0.058179202824150275,True,True,stable
134_VI_Ma,30,True,80.0,1.6287605655523787,-2.885179258648982e-05,9.617377468839666e-05,0.16349473473372386,0.06815100063755494,112.40835524316739,96.66780521878223,False,0.3239724821138236,0.007222605096041293,0.0399493087326337,0.14220909802637902,0.5204426829392335,0.6465226503762376,False,1.6217254543153221,-0.018303225164457936,0.1003839400041182,0.09346932902826674,0.32498744065583274,0.3273017195092226,False,False,unstable
135_VI_Ri,31,True,223.16666666666666,5.300352916500574,5.485073928378254e-05,5.6505855763944755e-05,0.625448132547604,0.008324617291555505,102.65829471900766,30.905247496263872,False,0.2245867062075169,0.0011153406609777322,0.45610852084964043,0.01929651967433101,0.32504928053736015,0.14898575429667196,True,4.7240308167214256,-0.06604849510124286,0.15333512692687587,0.06901934760630843,0.4838714441952359,0.4194415595308195,False,False,unstable
137_VI_Va,31,True,222.33333333333331,4.557779968253642,4.188859528207739e-05,5.2033576125367256e-05,0.6164018219433287,0.008765409729519918,120.63323666663614,37.2656870742313,False,0.2348055119363973,0.0032450980569360666,0.03637689258489058,0.1423878158264029,0.3330031455124895,0.41461097273752406,False,4.005350417515859,-0.06444080258454041,0.08487255339518546,0.09890514567479025,0.46513197213015944,0.4826604107051409,False,False,unstable
139_VI_Lu,31,True,148.58333333333331,1.9929102860139236,3.725475475767295e-05,7.27121502465281e-05,0.2843109728037493,0.03941696762119999,89.38175684809086,58.55264708047961,False,0.34012637712551475,0.004946709659717864,0.025295537896241276,0.16095490698130038,0.32960152312302,0.43631220561518613,False,1.9045326307077541,-0.024186409003111406,0.09375664849340518,0.09382256773303901,0.37695935927631885,0.3809818001509907,False,False,unstable
140_VI_Pa,31,True,205.5,2.9683644264676134,3.7030733607044574e-05,2.710496340243953e-05,0.7236879714210811,0.004375187979809566,100.61282976635951,21.958757574235467,False,0.2600185133260974,2.7325276202679008e-05,0.9862540220821818,1.0413583877249867e-05,0.2960911269477288,0.003152691997174392,True,2.789308996215621,-0.023988511670222503,0.2938699078964648,0.0379143164679222,0.401578334127518,0.25800488618617134,False,False,unstable
144_VI_Ro,31,True,80.58333333333333,1.283796280524897,2.520351198053937e-05,1.0091511340669211e-05,0.8578222780246575,0.0011252842901436318,108.5248604412966,12.012029928759056,False,0.3827585423209061,-0.0004746279331135644,0.854068759904931,0.0011861311281254722,0.3273612447538734,0.037200575347235594,True,1.2468011611502747,-0.0025502216941413317,0.7526160540376088,0.0034791991340914477,0.3152871767051796,0.061362351277934636,True,True,stable
145_VI_Ba,31,True,86.91666666666666,1.219127238106049,4.5492512615232655e-07,-6.754902679434692e-06,0.8777234908802631,0.0008301084990695061,4685.726707572911,445.4515012107435,False,0.29063391161163055,0.001251515941089833,0.6576799323933551,0.00686481821993792,0.4725424089637155,0.12918478103431513,True,1.2777764594102365,-0.011451853734384352,0.28654582927187616,0.039060165140362896,0.4123054591784095,0.2688698868267617,False,False,unstable
147_VI_Br,31,True,82.0,1.4992837369575973,2.922594709367157e-05,4.383718599759977e-05,0.4858067752992886,0.016898170169190634,104.91061857587532,44.99821941485555,False,0.3397741447136517,0.0030148829180840497,0.14127417024837563,0.07310095298736631,0.29838969249800007,0.2661959096939122,False,1.4681281419696492,-0.016024583589105263,0.07610057893254923,0.10448901807368349,0.30701011079707574,0.32744928315875593,False,False,unstable
148_VI_Br,31,True,126.58333333333333,1.6681110672182835,2.680541851228854e-05,2.5613850679511845e-05,0.6126620668432647,0.00895175629598845,91.82551421136688,28.666425037650015,False,0.2709397345310572,0.0023281055118084862,0.28475577023065923,0.03934568189114503,0.39386431357860235,0.25778118324039556,False,1.6352912934730324,-0.008775723671847464,0.4680660565292583,0.018302118142496555,0.3606636313925889,0.1609937698599785,True,False,unstable
149_VI_Mo,31,True,85.91666666666666,1.2122244966293911,1.6607982590504603e-05,-1.4348903059191708e-05,0.7461250294709839,0.0036704171626530738,129.66098609821753,25.91928847648631,False,0.2805582251158181,-0.0012316905492676827,0.5092935224241123,0.015162528695867063,0.3241589364897718,0.13170427087916148,True,1.1949342545622197,-0.011449820079112365,0.11107174636120441,0.08520851560755328,0.29845466017693983,0.2874589970635789,False,False,unstable
159_VE_Po,31,True,85.0,1.2761377112266947,-1.7779084250012205e-06,3.656487971062774e-05,0.4777518073391162,0.017525326876922202,1412.4949722688023,616.9870033199709,False,0.3644231019788242,0.0037439923322116833,0.26568034533847035,0.042530338086644075,0.45294434890162927,0.30821254019421945,False,1.276467165916497,-0.012551157115030836,0.16788964929453376,0.06453269904293742,0.3519244303125744,0.2949819027899359,False,False,unstable
163_VE_No,31,True,98.91666666666666,1.2572995454733198,6.589435552328132e-07,4.287224022419922e-05,0.3405425777593946,0.031364469495645295,3340.213313500742,1951.8624873287624,False,0.3348407697419998,0.0005209082031290796,0.8510617797937126,0.0012360696989386958,0.40231534529886803,0.046670679039214465,True,1.2494948824875252,-0.002564574430793428,0.757518846605241,0.0033384725585280575,0.3229773998433964,0.061574668293666236,True,True,stable
165_VE_Fo,31,True,77.16666666666666,1.2901913464795383,1.3512230235681572e-07,4.977091606477163e-05,0.3502830729826113,0.030141944449491403,19289.820136342085,11050.192720963756,False,0.36143795667801015,0.0019357902174043096,0.5351072596178041,0.013404674354685574,0.4205925846564189,0.16067406715079652,True,1.3060374553960075,-0.0012991015830994908,0.8927880844443417,0.0006370624677363689,0.35831227233973456,0.029840681315810805,True,True,stable
