station_id,A,B,c,breakpoint,Elv,Lat,Lon,distance_to_coast,min_K,max_K,gamma_acf,gamma_stable,gamma_spectrum
126_VR_Il,3.6019325957316752,0.0273949730476658,0.7675085925375852,0.0326997727452794,144,45.46030398,11.17156147,76.46010000000001,5.7220458984375e-06,6.0,1.1120416844080587,True,0.9004831489329188
127_VR_Bu,3.0438362608257985,0.0335485090598148,0.7551612408652945,0.0318628616222017,39,45.35084342,11.01059728,88.6592,5.7220458984375e-06,6.0,0.8922648546430192,False,0.7609590652064496
128_VR_Gr,2.996301430888361,0.0340372517257811,0.7529119120561185,0.0341835633383943,156,45.50976063,11.0135023,89.40610000000001,5.7220458984375e-06,6.0,0.8963529357511393,True,0.7490753577220902
129_VR_Ca,3.6603766038707257,0.0212995883580573,0.7211290798403549,0.0169336179607742,120,45.45487236,10.77166288,107.5925,5.7220458984375e-06,6.0,1.0291453907700012,True,0.9150941509676814
134_VI_Ma,5.485105162532896,0.0167954829952945,0.795557417810353,0.0162049626339362,98,45.66931288,11.46439144,61.6152,5.7220458984375e-06,6.0,1.6287605655523787,False,1.371276290633224
135_VI_Ri,14.7069066138642,0.0075744356223492,0.9098708323042932,0.0038092192621445,1130,45.71889138,11.18131677,83.6742,5.7220458984375e-06,6.0,5.300352916500574,False,3.67672665346605
137_VI_Va,14.574606701349746,0.0061409028259843,0.8622957036397245,0.0045076718741623,602,45.75778254,11.21365428,83.4436,5.7220458984375e-06,6.0,4.557779968253642,False,3.6436516753374364
139_VI_Lu,5.715853871481308,0.0166196694544721,0.8058080784862103,0.008238955658539,767,45.78414598,11.58812049,61.8567,5.7220458984375e-06,6.0,1.992910286013924,False,1.428963467870327
140_VI_Pa,8.303250084777,0.0118082844807516,0.8433893105403751,0.0083714305862584,807,45.6198264,11.25910319,73.7736,5.7220458984375e-06,6.0,2.968364426467613,False,2.07581252119425
144_VI_Ro,3.690239755950916,0.0308974712949735,0.8035267443993729,0.0079974389189471,88,45.71658505,11.77625641,45.945800000000006,5.7220458984375e-06,6.0,1.283796280524897,True,0.922559938987729
145_VI_Ba,3.824945971379591,0.0239776879131689,0.7584819470800762,0.0161191141674468,16,45.39775173,11.57053751,44.8363,5.7220458984375e-06,6.0,1.219127238106049,False,0.9562364928448978
147_VI_Br,5.278977305326355,0.0146875308056714,0.7575142732631729,0.0088210424869136,196,45.72042777,11.57629665,57.737300000000005,5.7220458984375e-06,6.0,1.499283736957597,False,1.3197443263315887
148_VI_Br,4.7184258531595695,0.0218236494355358,0.8055088906959597,0.0042600363751106,80,45.472092,11.46922467,53.5669,5.7220458984375e-06,6.0,1.6681110672182835,True,1.1796064632898924
149_VI_Mo,4.170246664829779,0.0187521426826715,0.7358077048522671,0.0170329994138621,22,45.44957583,11.66198536,38.2854,5.7220458984375e-06,6.0,1.2122244966293911,False,1.0425616662074448
159_VE_Po,3.711146001869414,0.0331589894030842,0.8230645199613769,0.0165553444364793,2,45.74548888,12.76128681,15.0697,5.7220458984375e-06,6.0,1.2761377112266947,False,0.9277865004673534
163_VE_No,3.214375883441338,0.0436842681827425,0.8416105287414757,0.0085030895609472,1,45.66841156,12.58851069,10.3197,5.7220458984375e-06,6.0,1.2572995454733198,True,0.8035939708603345
165_VE_Fo,3.959131008459195,0.0287911456130311,0.81117426633593,0.0161411553459304,3,45.77566742,12.89394125,13.0557,5.7220458984375e-06,6.0,1.2901913464795385,True,0.9897827521147987
166_VE_Lu,3.616889923902531,0.0332883763880207,0.8146666656401891,0.0174577574587747,0,45.70491156,12.94668823,5.873399999999999,5.7220458984375e-06,6.0,1.2651988932752611,True,0.9042224809756327
