station_id,A,B,c,breakpoint,min_K,max_K,Elv,Lat,Lon,distance_to_coast,int_scale
163_VE_No,3.21437464382751,0.0436843145637695,0.841610671389634,0.0085030895609472,5.7220458984375e-06,6.0,1,45.66841156,12.58851069,10.319700000000001,1.2572995454733196
165_VE_Fo,3.9591250407208296,0.0287913430684752,0.8111753956678146,0.0161411553459303,5.7220458984375e-06,6.0,3,45.77566742,12.89394125,13.0557,1.2901913464795383
166_VE_Lu,3.616888858458376,0.0332884229018281,0.8146669086796278,0.0174577574587745,5.7220458984375e-06,6.0,0,45.70491156,12.94668823,5.873399999999999,1.2651988932752611
167_VE_Mi,2.909295105764676,0.0480709696398265,0.828072058893293,0.0171188901659869,5.7220458984375e-06,6.0,3,45.43934709,12.1169216,5.9963,1.0102638782272446
168_VE_Ch,2.7844939516375886,0.0585638139063549,0.8678660888863974,0.0180509186248349,5.7220458984375e-06,6.0,0,45.14632401,12.27596996,2.9438,1.0204226291071794
169_PD_Ag,2.9942058232782403,0.0444842593388116,0.818360020463778,0.0631838106690687,5.7220458984375e-06,6.0,1,45.15926189,11.95775646,19.0356,0.9505536223650304
170_PD_Te,3.5459159666929443,0.0309169797702766,0.789659508264552,0.015670510634244,5.7220458984375e-06,6.0,155,45.34272761,11.67713457,36.4199,1.2739944623175348
175_PD_Co,2.893568125952693,0.0469827351600656,0.8195550797516057,0.0304884651894031,5.7220458984375e-06,6.0,0,45.24367259,12.09970856,4.6669,1.0036499825499337
179_PD_Ca,4.150230047196954,0.0203059708417995,0.7499160191426014,0.0590429433579306,5.7220458984375e-06,6.0,16,45.49551578,11.91336346,21.654400000000003,1.1177303508994032
183_TV_Vo,3.760104961573591,0.0299201306076453,0.8023943507827807,0.009040035192046,5.7220458984375e-06,6.0,122,45.78502414,12.11304779,36.0425,1.3092844217347896
184_TV_Ze,3.2255642901771657,0.0340405433399049,0.7789197176857694,0.0164209464284491,5.7220458984375e-06,6.0,12,45.59066694,12.1748348,14.694,1.0314711562321406
185_TV_Va,3.269534724511828,0.0438880060747445,0.8497676564409334,0.0040491581793617,5.7220458984375e-06,6.0,40,45.81168647,12.34189762,29.220299999999998,1.3187699356180937
186_TV_Ga,4.152951385656187,0.0231725654791011,0.7775698170777859,0.0078831695217948,5.7220458984375e-06,6.0,17,45.89217558,12.49348723,35.0215,1.4339168513979268
187_TV_Ro,3.118997214141292,0.0442609202233535,0.8332093621495907,0.0081343426580494,5.7220458984375e-06,6.0,7,45.64140487,12.39588815,10.2451,1.1831951557398932
188_TV_Vi,3.804896213232449,0.0272180116034844,0.7844134686389619,0.0088389255987064,5.7220458984375e-06,6.0,41,45.74894328,12.23496228,27.3815,1.3136809917313912
189_TV_Va,5.288884584818505,0.0193292415641647,0.8147966304927358,0.0081288768699059,5.7220458984375e-06,6.0,225,45.88205751,12.0070972,49.569300000000005,1.9512997948703923
190_VI_Br,10.388130480041928,0.0088440781474734,0.8457952701289444,0.007383204218814,5.7220458984375e-06,6.0,331,45.80132477,11.34330714,77.5676,3.3915747905960485
191_VI_Mo,12.69731590015289,0.0083759716920988,0.8905017481137651,0.0047739593379238,5.7220458984375e-06,6.0,623,45.83331375,11.25603835,85.1496,4.565190345240787
195_TV_Fa,4.526033123491852,0.0216528296074247,0.7903721864090366,0.0043082233684501,5.7220458984375e-06,6.0,169,45.9021246,12.10445916,47.001599999999996,1.8289001654846309
196_TV_Od,4.150597358638865,0.0226749791005256,0.772723191161864,0.0089741487033277,5.7220458984375e-06,6.0,7,45.76569434,12.52427035,20.782700000000002,1.3404230885848938
197_TV_Ma,3.116179163722677,0.0424806829519845,0.8216781166116348,0.000119023939556,5.7220458984375e-06,6.0,100,45.77892133,11.94236996,41.8915,1.2173845929383127
199_BL_Lo,9.261497021046342,0.0094857765283016,0.828504090059549,0.0079910790162222,5.7220458984375e-06,6.0,435,46.26152058,12.30351169,78.17280000000001,2.6451160602614294
200_BL_La,8.223972810679518,0.0096363434930477,0.7993216464906537,0.0040575418528675,5.7220458984375e-06,6.0,650,46.04985912,11.74647606,75.4411,2.614051726421297
203_BL_Pa,12.842197466843936,0.0051660436389092,0.7985191442696129,0.0097176739113806,5.7220458984375e-06,6.0,2042,46.33914263,11.80160227,100.4307,3.4182547785711015
216_BL_Ca,11.686656260247489,0.0097933305689164,0.9021152424643788,0.0091717446100036,5.7220458984375e-06,6.0,1022,46.07747932,12.41476528,56.3299,3.892704705423247
236_BL_Sa,6.697203089362294,0.0137790422357072,0.8133854308843588,0.004369127698553,5.7220458984375e-06,6.0,828,46.18043287,12.39682227,67.8353,2.1834247299714775
