station_id,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17
149_VI_Mo,1.4280165433344718,1.4391750245278734,1.4351791137531533,1.418553241897187,1.4249161917749231,1.4253073918913919,1.4150558246158627,,,,,,,,,,
159_VE_Po,1.4203901657569376,1.4257510504263307,1.4199967624779997,1.4229195212778012,1.4190069170751893,1.4195774159835326,1.3971507732246762,1.4128854392488386,,,,,,,,,
163_VE_No,1.4320571751505182,1.4393487159181173,1.4330277145743961,1.4229658262213543,1.4116037501424687,1.4230261263437758,1.404677048957087,1.4039951663380663,,,,,,,,,
165_VE_Fo,1.421370201308016,1.4303296241595962,1.426547552935564,1.4171768054761078,1.4165613707698255,1.414473539048681,1.4287354519712017,,,,,,,,,,
166_VE_Lu,1.419628193713966,1.4294333588212538,1.416541131099749,1.4209704246201778,1.4163604922884159,1.414595092784694,1.416149071972116,1.431282595819411,,,,,,,,,
167_VE_Mi,1.4325474191932543,1.4452839473721533,1.439361242572034,1.4267598123916072,1.4233017940341814,1.4214723298029577,1.4182653832467982,1.4221704235788968,,,,,,,,,
168_VE_Ch,1.4263016602905771,1.4310210776852788,1.4248269801962574,1.4233251939524278,1.427610910408884,1.432298491710023,1.4041681539665154,1.4152525645172398,1.4340769499539427,1.4265766008095078,1.4404681371682366,1.2764584157705297,1.4317477712675681,1.282680154527383,1.2313047009221705,1.2176517478590347,1.203477742669258
169_PD_Ag,1.4311886411211932,1.437268369273539,1.4285650124704319,1.4255765019605793,1.4208291843385195,1.4075800774997618,1.429347403702468,1.4347186728796208,,,,,,,,,
170_PD_Te,1.4356089450246863,1.433921207538474,1.427777842105556,1.4266210166368387,1.4077827841119366,1.4258809908757073,1.4253299369984909,,,,,,,,,,
175_PD_Co,1.4273226454200711,1.434329836322272,1.433726310300079,1.4345545266627362,1.4284965693404794,1.418565145749355,1.4127411100979361,1.4367587913928883,1.4172917824654063,1.4201237571747336,1.4358418313411372,1.4199775360035076,1.3118861810576732,1.2938832156422784,1.2582157540746983,1.1925965406260104,1.2056695058810782
179_PD_Ca,1.418427384026182,1.4234594027751761,1.4276575450406928,1.437445609324402,1.4293875127102196,1.4214220179382615,1.4190090784276437,1.415458235152772,1.4060141530852825,,,,,,,,
183_TV_Vo,1.4252941230587566,1.4189595035596563,1.4307503751071184,1.4305543942163224,1.4076537678228134,1.4172284899526644,1.403620481853803,1.3831281242437026,,,,,,,,,
184_TV_Ze,1.4315888946164652,1.4426088655640652,1.439393029097679,1.4303544603232556,1.4254240400878937,1.4324653497054132,1.418987386489704,1.6524242447534951,,,,,,,,,
185_TV_Va,1.4143542865776566,1.41999420134646,1.4299150445550572,1.4131749746410212,1.4108928951600863,1.4099411985026324,1.4045327179149785,1.419544393025218,,,,,,,,,
